IBGE;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;NU_IDENTIFICADOR;ident_0_1;ident_0_2;ident_0_3;ident_0_4;ident_0_5;ident_0_6;ident_0_7;ident_0_8;ident_0_9;ident_0_10;ident_0_11;ident_0_12;ident_0_13;ident_0_14;Latitude;Longitude;q_1;q_2;q_3;q_4;q_5;q_6_1;q_6_2;q_7_1;q_7_2;q_7_3;q_7_4;q_7_5;q_7_6;q_8;q_9_1;q_9_2;q_9_3;q_9_4;q_9_5;q_9_6;q_9_7;q_9_8;q_9_9;q_9_10;q_9_11;q_9_12;q_9_13;q_9_14;q_9_99;q_9_99_1;q_10_1;q_10_2;q_10_3;q_10_4;q_10_5;q_10_6;q_10_7;q_10_8;q_10_99;q_10_99_1;q_11_1;q_11_2;q_11_3;q_11_4;q_11_5;q_11_6;q_11_7;q_11_8;q_11_9;q_11_99;q_11_99_1;q_12;q_13;q_14_1;q_14_2;q_14_3;q_14_4;q_14_5;q_14_6;q_14_7;q_14_8;q_14_9;q_14_0;q_15;q_16_1;q_16_2;q_16_3;q_16_4;q_16_5;q_16_6;q_16_7;q_16_8;q_16_9;q_16_10;q_16_0;q_17;q_18_1;q_18_2;q_18_3;q_18_4;q_18_99;q_18_0;q_18_99_1;q_19_1;q_19_2;q_19_3;q_19_4;q_19_0;q_19_4_1;q_20_0;q_20_1;q_20_2;q_20_3;q_20_4;q_20_5;q_20_6;q_20_99;q_20_99_1;q_21_0;q_21_1;q_21_2;q_21_3;q_21_4;q_21_5;q_21_6;q_21_7;q_22;q_23;q_24;q_25;q_26_2;q_26_1;q_26_3;q_26_4;q_26_5;q_26_6;q_26_7;q_26_8;q_26_9;q_26_10;q_26_11;q_26_99;q_26_99_1;q_27_1;q_27_2;q_27_3;q_27_4;q_27_5;q_27_6;q_27_7;q_27_8;q_27_99;q_27_99_1;q_28_1;q_28_2;q_28_3;q_28_4;q_28_5;q_28_6;q_28_7;q_28_8;q_28_9;q_28_10;q_28_11;q_28_12;q_28_13;q_28_14;q_28_99;q_28_0;q_28_99_1;q_29;q_29_1;q_30;q_32;Q_completo;d_6;d_13_sala_excl_categoria;d22_cap_atend_cat;d_29_1;d_31_9bin1_sum;d_31_9bin2_sum;d_31_9bin3_sum;d_31_10bin1_sum;d_31_10bin2_sum;d_31_10bin3_sum;d_31_10bin4_sum;d_31_10bin5_sum;d_31_11bin1_sum;d_31_11bin2_sum;d_31_11bin3_sum;d_31_11bin4_sum;nu_trabalhadores
110011;1100114;11;1;Jaru;52005;35118;16887;3;2944,128;1100113411486;CENTRO DE CONVIVÊNCIA E FORTALECIMENTO DE VINCULOS;3;Juscelino Kubitschek;1162; ;Setor 08;76890000;JARU;RO;semtasjaru@hotmail.com;(69) 35212181; ;35215150;01/04/2015;-10.453.777.014.961.000;-6.246.062.278.747.550;2;1; ; ;1;5;8;1;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;1;1;1;0;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;0;2;1;1;0;0;0;0; ;0;1;1;0;0; ;0;0;0;0;0;0;0;1;Bolivianos;0;0;0;0;1;1;0;0;440;6;5;4;1;1;1;1;0;0;0;1;0;1;0;0; ;1;0;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ;2;2;0;2;1;13; ;2;4;1;1;0;0;0;0;4;0;2;1;7
110012;1100122;11;1;Ji-Paraná;116610;104858;11752;4;6896,649;1100123401882;CENTRO DE CONVIVÊNCIA FUNDAÇÃO DE EDUCAÇÃO, CULTURA E DESENVOLVIMENTO EMPRESARIAL E SOCIAL - FUNDAÇÃO JI-CRED/;32;Guanabara;1483; ;val paraiso;76913281;JI-PARANA;RO;angelitabarboza.fundjicred@gmail.com;(69) 34242659;0;(69) 34242659;09/01/2003;-10.906.591.007.797.400;-61.913.553.382.772.800;2;0;05.866.460/0001-10;1;1;5;8;0;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ;0;4;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;4;0;1;0;0;0;0; ;1;0;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;1;0;0;1;0;0;220;6;5;4;1;1;1;0;1;1;1;0;1;1;1;0; ;1;1;1;0;1;1;1;1;0; ;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0; ;0; ;1;2;0;2;3;13; ;2;6;6;1;1;0;0;0;0;0;0;14;14
110012;1100122;11;1;Ji-Paraná;116610;104858;11752;4;6896,649;1100123415363;CENTRO DE CONVIVÊNCIA  DO IDOSO;32;São Luiz;348; ;Nova Brasília;76908334;JI-PARANA;RO;semas_jp@hotmil.com;(69) 934230014; ; ;10/01/1998;-10.882;-61.944;2;1; ; ;1;5;10;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;2;0;1;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;1;0;1;1;0;4;0;1;0;0;0;0; ;1;0;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;1;400;6;4;3;1;0;1;1;0;1;0;1;1;0;1;0; ;1;1;0;0;0;0;0;1;0; ;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ;0; ;2;2;0;3;2;13; ;6;5;1;0;0;0;0;0;4;0;7;1;12
110013;1100130;11;1;Machadinho D'Oeste;31135;16173;14962;2;8509,27;1100133400040;CENTRO DE CONVIVÊNCIA CENTRO DO IDOSO JOAQUIM AMBROSIO;3;Tancredo Neves;2265; ;centro;76868000;MACHADINHO DOESTE;RO;acaosocial.mdo@hotmail.com;(69) 38512052; ; ;11/03/2014;-9.423.280.024.907.270;-619.994.866.847.992;2;1; ; ;1;1;5;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;1;1;0; ;0;4;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;1;0;0;2;1;1;1;0;0;0; ;1;1;1;0;0; ;0;0;0;0;0;0;0;1;agricultores/distrito;0;0;0;0;1;0;0;1;55;6;3;4;1;1;1;0;0;0;0;1;0;0;1;0; ;1;1;1;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ;3;2;0;0;3;6; ;0;0;1;0;0;0;0;0;1;0;0;0;1
110020;1100205;11;1;Porto Velho;428527;390733;37794;4;34090,962;1100203400041;CENTRO DE CONVIVÊNCIA DO IDOSO ROSALINA GOMES;3;AMAZONAS;6888; ;TIRADENTES;76824556;PORTO VELHO;RO;dpsbsemas@bol.com.br;(69) 39013388; ; ;29/03/2012;-87.573.743;-6.385.037.539.999.990;2;1; ; ;1;5;12;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ;0;2;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;1;0;4;1;1;0;0;0;0; ;0;1;0;0;0; ;0;0;0;1;0;0;0;0; ;0;0;0;0;1;0;0;1;1000;6;4;3;1;1;1;1;0;0;0;1;0;0;0;0; ;1;1;1;1;0;0;0;1;0; ;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0; ;0; ;1;2;0;3;2;13; ;2;2;1;0;0;0;0;0;3;0;2;0;5
110025;1100254;11;1;Presidente Médici;22319;13303;9016;2;1758,465;1100253400043;CENTRO DE CONVIVÊNCIA INSTITUTO EDUCACIONAL SARGENTO DE LIMA GUARDA MIRIM;32;INDEPENDÊNCIA;0;GINÁSIO DE ESPORTES;CENTRO;76916000;PRESIDENTE MEDICI;RO;scfv@presidentemedici.ro.gov.br;(69) 34711298; ; ;22/02/2007;-11.167.360.632.409.900;-6.190.558.791.160.580;2;0;08.826.487/0001-78;2;1;5;4;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Ginásio Poliesportivo;0;0;0;0;0;0;0;0;1;Atividade poliesportiva;0;1;1;1;0;0;0;1;0;0; ;0;2;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;2;1;1;0;1;0;0; ;1;1;0;1;0;CREAS;1; ; ; ; ; ; ; ; ;0;0;1;0;0;1;1;0;100;3;5;4;1;1;1;0;1;1;0;1;0;1;1;0; ;1;1;0;1;0;1;0;1;0; ;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0; ;0; ;2;1;0;0;2;10; ;0;1;1;1;0;0;0;0;0;0;1;1;2
110025;1100254;11;1;Presidente Médici;22319;13303;9016;2;1758,465;1100253400044;CENTRO DE CONVIVÊNCIA - CONVIVER;3;Rua Nova Brasília;2822;ANEXO I;Centro;76916000;PRESIDENTE MEDICI;RO;scfv@presidentemedici.ro.gov.br;(69) 34711298; ; ;01/01/2010;-11.171.649.820.391.000;-61.903.259.754.180.900;2;1; ; ;1;5;3;1;1;1;1;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;0;1;1;1;0; ;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0; ;1;1;0;1;0;CREAS;1; ; ; ; ; ; ; ; ;0;0;1;1;1;1;1;1;400;3;4;3;0;1;1;1;0;1;1;1;1;0;1;0; ;1;1;0;1;0;0;0;1;0; ;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0; ;0; ;1;1;0;0;1;13; ;1;0;2;2;0;0;0;0;0;0;1;2;3
110026;1100262;11;1;Rio Crespo;3316;1064;2252;1;1717,64;1100263410994;CENTRO DE CONVIVÊNCIA;32;OSVALDO PIANA;2100; ;CENTRO;76863000;RIO CRESPO;RO;social.rc@hotmail.com;(69) 35392300; ; ;08/05/2014;-9.702.711.909.495.370;-6.289.903.307.013.440;2;1; ; ;1;2;8;0;1;1;0;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;1;1;0;0; ;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;1;1;0;0; ;0;1;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;1;0;1;0;1;1;28;6;4;3;1;1;1;0;0;0;1;1;0;1;1;0; ;1;0;1;0;1;0;1;1;0; ;1;0;1;0;1;1;1;0;0;0;0;1;0;0;0;0; ;0; ;2;1;0;0;1;3; ;0;1;1;0;1;0;0;0;2;0;0;0;2
110028;1100288;11;1;Rolim de Moura;50648;41429;9219;3;1457,888;1100283400045;CENTRO DE CONVIVÊNCIA AO IDOSO;3;Manaus;5877; ;Boa Esperança;76940000;ROLIM DE MOURA;RO;semac_rm@hotmail.com;(69) 34428010; ; ;01/11/2013;-11.732.146.712.919.000;-617.824.925.691.184;2;1; ; ;1;3;4;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;0;0;0;0;0;0; ;0;3;1;1;1;0;1;1;1;1;1;0;1;1;1;1;0;0;1;0;1;1;1;0;3;1;0;0;0;0;0; ;1;0;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;0;1;1;1;0;0;400;5;4;3;1;0;1;0;0;1;0;1;0;0;1;0; ;1;1;0;1;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ;1;1;0;0;2;13; ;2;2;2;1;0;0;0;0;5;0;1;0;6
110030;1100304;11;1;Vilhena;76202;72218;3984;3;11699,146;1100303414036;CENTRO DE CONVIVÊNCIA  DA CRIANÇA E ADOLESCENTE - CRECA;3;Rosalina Marangoni;3670; ;Jardim America;76980828;VILHENA;RO;semasvilhena@outlook.com;(69) 933228836; ; ;15/08/2018;-12.734.843.581.123.000;-6.013.960.003.852.840;2;1; ; ;1;4;8;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;2;1;1;1;1;0;0; ;0;1;1;0;0; ;0;1;0;0;0;0;0;0; ;0;0;0;0;0;1;0;0;200;6;5;4;1;0;1;1;0;0;0;1;1;0;1;0; ;1;1;1;1;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ;1;2;0;1;1;12; ;0;3;4;2;0;0;0;0;2;0;5;0;7
110060;1100601;11;1;Cacaulândia;5736;2069;3667;1;1961,778;1100603411910;CENTRO DE CONVIVÊNCIA E FORTALECIMENTO DE VINCULO CACAULÂNDIA;32;RIVALDO LEITE DA SILVA;2341; ;SETOR 06;76889000;CACAULANDIA;RO;semtascacaulandia@gmail.com;(69) 35322315; ; ;28/10/2011;-1.033.400.294.506.650;-6.290.115.952.491.760;2;1; ; ;1;5;6;0;1;1;1;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;1;1;0;1;0;0; ;0;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0; ;0;1;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;1;1;1;1;1;1;30;3;4;3;1;1;1;1;0;1;1;1;1;1;1;0; ;1;1;0;0;0;1;0;1;0; ;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0; ;0; ;2;1;0;1;1;3; ;1;2;1;0;1;0;0;0;4;0;0;0;4
