IBGE;NU_IDENTIFICADOR;q01;q02;q03;q04;q05;q06;q07;q08;q09;q010;q011;q012;q013;q014;Latitude;Longitude;q1;q2;q3_1;q3_2;q4;q5_1;q5_2;q5_3;q5_4;q5_5;q5_6;q6;q7_1;q7_2;q7_3;q7_4;q7_5;q7_6;q7_7;q7_8;q7_9;q7_10;q7_11;q7_12;q7_13;q7_14;q7_15;q7_16;q7_17;q7_99;q7_99_1;q8_0;q8_1;q8_2;q8_3;q8_4;q8_5;q8_6;q8_7;q8_8;q8_9;q8_99;q8_99_1;q9_1;q9_2;q9_3;q9_4;q9_5;q9_6;q9_7;q9_8;q9_9;q9_10;q9_99;q9_99_1;q10;q11;q12_1;q12_2;q12_3;q12_4;q12_5;q12_6;q12_7;q12_8;q12_99;q12_0;q12_99_1;q13;q14;q15_1;q15_2;q15_3;q15_4;q15_5;q15_6;q15_7;q15_8;q15_9;q15_10;q15_99;q15_0;q15_99_1;q16;q17_1;q17_2;q17_3;q17_4;q17_5;q17_99;q17_0;q17_99_1;q18_1;q18_2;q18_3;q18_99;q18_0;q18_99_1;q19_0;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_7;q19_8;q19_9;q19_10;q19_11;q19_12;q19_13;q19_14;q19_15;q19_99;q19_99_1;q20_0;q20_97;q20_1;q20_2;q20_3;q20_4;q20_5;q20_6;q20_7;q21;q22;q23;q24;q25_1;q25_2;q25_3;q25_4;q25_5;q25_6;q25_7;q25_8;q25_9;q25_10;q25_11;q25_99;q25_99_1;q26_1;q26_2;q26_3;q26_4;q26_5;q26_6;q26_7;q26_8;q26_9;q26_10;q26_11;q26_12;q26_99;q26_99_1;q27;q28;q29;q30_1;q30_2;q30_3;q30_4;q30_5;q30_6;q30_7;q30_8;q30_99;q30_99_1;q31_1;q31_2;q31_3;q31_4;q31_5;q31_6;q31_7;q31_8;q31_99;q31_0;q31_99_1;q32;q33_1;q33_2;q33_3;q33_4;q33_99;q33_99_1;q34_1;q34_2;q34_3;q34_4;q34_5;q34_6;q34_7;q34_8;q34_9;q34_10;q34_99;q34_0;q34_99_1;q35;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;q7_1_velha;q7_2_velha;q7_3_velha;q7_4_velha;q7_5_velha;q7_6_velha;q7_7_velha;q7_8_velha;q7_9_velha;q7_10_velha;q7_11_velha;q7_12_velha;q7_13_velha;q7_14_velha;q7_15_velha;q7_16_velha;q7_17_velha;q7_99_velha;q8_0_velha;q8_1_velha;q8_2_velha;q8_3_velha;q8_4_velha;q8_5_velha;q8_6_velha;q8_7_velha;q8_8_velha;q8_9_velha;q8_99_velha;q9_1_velha;q9_2_velha;q9_3_velha;q9_4_velha;q9_5_velha;q9_6_velha;q9_7_velha;q9_8_velha;q9_9_velha;q9_10_velha;q9_99_velha;q12_1_velha;q12_2_velha;q12_3_velha;q12_4_velha;q12_5_velha;q12_6_velha;q12_7_velha;q12_8_velha;q12_99_velha;q12_0_velha;q14_velha;q15_1_velha;q15_2_velha;q15_3_velha;q15_4_velha;q15_5_velha;q15_6_velha;q15_7_velha;q15_8_velha;q15_9_velha;q15_10_velha;q15_99_velha;q15_0_velha;q16_velha;q17_1_velha;q17_2_velha;q17_3_velha;q17_4_velha;q17_5_velha;q17_99_velha;q17_0_velha;q18_1_velha;q18_2_velha;q18_3_velha;q18_99_velha;q18_0_velha;q19_0_velha;q19_1_velha;q19_2_velha;q19_3_velha;q19_4_velha;q19_5_velha;q19_6_velha;q19_7_velha;q19_8_velha;q19_9_velha;q19_10_velha;q19_11_velha;q19_12_velha;q19_13_velha;q19_14_velha;q19_15_velha;q19_99_velha;q20_0_velha;q20_1_velha;q20_2_velha;q20_3_velha;q20_4_velha;q20_5_velha;q20_6_velha;q20_7_velha;q20_97_velha;q29_velha;q30_1_velha;q30_2_velha;q30_3_velha;q30_4_velha;q30_5_velha;q30_6_velha;q30_7_velha;q30_8_velha;q30_99_velha;q31_1_velha;q31_2_velha;q31_3_velha;q31_4_velha;q31_5_velha;q31_6_velha;q31_7_velha;q31_8_velha;q31_99_velha;q31_0_velha;q33_1_velha;q33_2_velha;q33_3_velha;q33_4_velha;q33_99_velha;q34_1_velha;q34_2_velha;q34_3_velha;q34_4_velha;q34_5_velha;q34_6_velha;q34_7_velha;q34_8_velha;q34_9_velha;q34_10_velha;q34_99_velha;q34_0_velha;d_3;d11_sala_excl_categoria;d21_cap_atend_cat;filter_$;d36_9bin1_sum;d36_9bin2_sum;d36_9bin3_sum;d36_10bin1_sum;d36_10bin2_sum;d36_10bin3_sum;d36_10bin4_sum;d36_10bin5_sum;d36_11bin1_sum;d36_11bin2_sum;d36_11bin3_sum;d36_11bin4_sum;nu_trabalhadores
240220;2402203418375;CENTRO DE CONVIVÊNCIA;32;OLIVIA DE SOUZA;5; ;PIQUIRI;59190000;CANGUARETAMA;RN;assistenciasocial@canguaretama.rn.gov.br;(84) 32422262; ; ;15/01/2021;-6.411.988.160.487.740;-35.183.522.701.263.400;2;2;5;6;2;0;1;1;1;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;1;1;0;0;1;0; ;0;1;1;1;1;1;1;1;1;1;0;0; ;1;1;1;1;1;0;1;1;1;1;1;1;0;0; ;2;1;1;1;1;1;0;0; ;1;1;0;0;0; ;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0; ;0;0;1;1;1;1;0;1;0;200;2;4;3;1;1;1;0;0;0;0;1;0;0;1;0; ;1;1;0;0;0;1;0;1;1;1;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;0;0; ;2;0;0;1;0;0; ;1;1;1;1;1;0;0;0;0;1;0;0; ;3;2402204;24;2;Canguaretama;30916;20235;10681;Pequeno II;245,408; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;1;1;1;1;1;0;0;2;1;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;1;1;1;1;1;0;0;0;0;1;0;0;1;1;12;1; ; ;1; ;1; ; ; ; ; ;1; ;1
240240;2402403414340;CENTRO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS;32;SINHA RITA;176; ;SÃO JOSÉ;59374000;CARNAUBA DOS DANTAS;RN;scfvcdosdantas@gmail.com;(84) 34792312;220; ;01/08/2013;-65.583.597.676.293.900;-36.594.026.014.208.700;2;1;5;10;2;1;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;0;0;0;0;0;0;0; ;0;1;1;1;0;0;1;0;0;1;0;0; ;1;6;1;1;0;0;1;0;0;0;1;0;0;0; ;4;0;0;1;0;0;0;0; ;0;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;1;0;0;0;250;7;3;3;1;1;1;0;0;1;0;1;0;0;1;0; ;1;1;1;0;0;1;0;1;1;1;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;1;0;1;1;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;2402402;24;2;Carnaúba dos Dantas;7429;6028;1401;Pequeno I;246,308; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;6;1;1;0;0;1;0;0;0;1;0;0;0;4;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ;0;1;0;0;1;0;1;1;0;0; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;1;3;1;13;1; ;6;2;2; ; ; ; ; ; ;1;7;8
240260;2402603412336;CENTRO DE CONVIVÊNCIA;32;8 DE DEZEMBRO, SN;0; ;NOVOS TEMPOS;59570000;CEARA-MIRIM;RN;scfvcearamirim@gmail.com;(84) 32745911; ; ;02/01/2017;-5.643.408.138.821.240;-3.542.976.498.618.370;2;1;5;8;1;1;1;1;1;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;1;0;0;0;0;0;0; ;0;1;0;0;1;0;1;0;0;0;0; ;0;3;0;1;1;1;0;1;1;1;0;0; ;1;1;1;1;1;1;1;1;1;1;1;0;0;0; ;2;1;1;1;1;1;0;0; ;1;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;1;0;0;1;1000;7;5;5;1;0;1;0;0;1;1;1;1;1;0;0; ;1;0;1;1;1;1;1;1;1;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;0;0; ;1;0;0;0;1;0; ;1;1;1;1;0;1;0;0;0;1;0;0; ;1;2402600;24;2;Ceará-Mirim;68141;35494;32647;Médio;724,381; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;2;1;1;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;1;0;0;0;1;0;0;2;2;13;1;2;14;4;2; ; ; ; ; ; ;3;17;20
240270;2402703417969;CENTRO DE CONVIVÊNCIA  MANOEL BEZERRA DA COSTA;32;Sítio Casa Velha;0; ;Tancredo Neves;59395000;CERRO CORA;RN;semthaspmcc@gmail.com;(84) 34882478;215; ;05/03/1990;-6.046;-36.346;2;1;2;4;1;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;1;0;1;1;1;0;1;1;0;0; ;1;4;1;1;1;1;1;0;1;1;1;1;0;0; ;2;1;0;0;0;0;0;0; ; ; ; ; ;1; ;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0; ;0;0;0;0;1;0;0;1;1;230;7;4;4;0;1;1;1;0;1;0;1;0;0;0;0; ;0;1;1;0;0;0;0;1;0;1;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;1;1;0;1;0;0; ;0; ; ; ; ; ; ;1;1;1;1;0;0;1;0;1;1;0;0; ;0;2402709;24;2;Cerro Corá;10916;4742;6174;Pequeno I;393,573; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;4;1;1;1;1;1;0;1;1;1;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0; ; ; ; ; ; ; ; ; ; ;0;1;0;1;1;1;0;1;0;0; ; ; ; ; ;1;1;1;1;0;0;1;0;1;1;0;0;0;1;13;1; ; ;1;1; ; ; ; ; ; ; ;1;1
240280;2402803412872;CENTRO DE CONVIVÊNCIA JESUS MENINO DE PRAGA;32;Marcelo Pereira de Medeiros;10; ;CENTRO;59220000;CORONEL EZEQUIEL;RN;crascelezequielrn@gmail.com;(84) 32912249; ; ;01/08/2017;-6.387.625.542.962.520;-3.621.309.399.604.790;2;1;6;8;1;0;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;1;0;1;0;1;0;0; ;0;1;1;1;1;1;1;1;1;1;0;0; ;1;3;1;1;1;1;1;1;1;1;1;1;0;0; ;2;1;0;1;0;1;0;0; ;1;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;1;0;1;1;180;7;4;3;1;1;1;1;0;1;0;1;0;0;1;0; ;1;1;1;1;1;1;1;1;1;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;0;1;0;1;0;0;0; ;1;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;2402808;24;2;Coronel Ezequiel;5405;2273;3132;Pequeno I;185,748; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;1;0;0;3;1;1;1;1;1;1;1;1;1;1;0;0;2;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0; ; ; ; ; ; ; ; ; ; ;1;1;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;12;1;2;3; ;1; ; ; ; ; ; ; ;5;5
240290;2402903402340;CENTRO DE CONVIVÊNCIA SERVIÇO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS - SCFV;32;Horácio da Cunha Lima;10; ;Centro;59930000;CORONEL JOAO PESSOA;RN;socialcoronelpesoa@hotmail.com;(84) 33570062; ; ;02/09/2013;-6.259.118.972.880.760;-3.844.051.837.921.140;2;1;5;8;3;1;1;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;1;1;0;0;0;1;0; ;0;1;1;1;1;1;1;1;1;1;0;0; ;1;3;1;1;0;0;1;1;1;0;1;0;0;0; ;3;1;0;1;0;1;0;0; ;1;1;1;0;0; ;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0; ;0;0;1;0;1;1;0;0;1;180;6;4;3;1;0;1;1;0;1;0;1;0;1;1;0; ;1;1;0;1;1;1;1;1;1;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;0;1;0;0;0;0; ;1;0;0;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;2402907;24;2;Coronel João Pessoa;4772;1777;2995;Pequeno I;117,139; ;2;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;0;0;3;1;1;0;0;1;1;1;0;1;0;0;0;3;1;0;1;0;1;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;12;1; ;3;2;1;1; ; ; ; ; ;1;4;5
240310;2403103410320;CENTRO DE CONVIVÊNCIA DE IDOSOS TETE SALUSTINO;32;PROFESSORA MARIA DAS GRAÇAS;1; ;JK;59380000;CURRAIS NOVOS;RN;semthas@hotmail.com;(84) 34052734; ; ;01/02/1995;-6.254.959.652.558.770;-36.520.934.538.348.200;2;1;4;6;1;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;1;1;1;1;1;1;0;0; ;1;4;1;1;0;1;0;0;0;1;1;0;0;0; ;2;1;1;1;0;0;0;0; ;0;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;1;0;300;6;4;3;0;1;1;1;1;1;0;1;1;0;1;0; ;1;1;0;1;0;0;1;1;0;1;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;0;0;0;0;0;0; ;1;0;0;1;0;0; ;0;0;1;0;0;0;0;0;0;0;0;0; ;1;2403103;24;2;Currais Novos;42652;37777;4875;Pequeno II;864,349; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;4;1;1;0;1;0;0;0;1;1;0;0;0;2;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0; ; ; ; ; ; ; ; ; ; ;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;13;1; ;3;1; ;1; ; ; ; ; ; ;4;4
240310;2403103410332;CENTRO DE CONVIVÊNCIA AABB COMUNIDADE CURRAIS NOVOS;32;ARISTIDES GOMES;0; ;GILBERTO PINHEIRO;59380000;CURRAIS NOVOS;RN;semthas@hotmail.com;(84) 34122240; ; ;05/07/2013;-62.679.348;-365.172.458;2;1;3;8;3;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0; ;0;0;0;1;0;0;0;0;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;1;1;1;1;1;1;0;0; ;1;4;1;1;0;1;0;1;1;0;1;0;0;0; ;2;1;1;1;0;0;0;0; ;0;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;1;0;0;0;300;5;4;3;1;1;1;0;1;1;0;1;0;1;1;0; ;1;1;0;1;0;1;1;1;0;0;1;1;0; ;1;08.136.673/0001-85;1;1;0;1;0;0;0;0;0;1;Repasses da FENAB;0;1;1;1;1;1;1;0;0;0; ;1;0;0;1;0;0; ;0;0;1;1;0;0;0;0;0;0;0;0; ;1;2403103;24;2;Currais Novos;42652;37777;4875;Pequeno II;864,349; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;4;1;1;0;1;0;1;1;0;1;0;0;0;2;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;13;1; ;3;2;2; ; ; ; ;2; ; ;3;5
240320;2403203411904;CENTRO DE CONVIVÊNCIA;32;PRINCESA ISABEL;11; ;CENTRO;59910000;DOUTOR SEVERIANO;RN;centroscfv@gmail.com;(84) 33560177; ; ;01/01/2014;-609.370.203.682.222;-38.375.780.582.427.900;2;1;5;8;1;1;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;0;1;0;0;0;1;0; ;0;1;1;1;1;1;1;1;1;1;1;0;Ações voltadas para prevenção do coronavírus;1;3;1;1;1;1;1;1;1;1;1;1;0;0; ;2;1;0;1;1;1;0;0; ;1;1;1;1;0;Equipe de Saúde e Educação,;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;1;0;0;1;156;4;5;3;1;1;1;1;0;1;0;1;1;1;1;1;Atividades referentes a pandemia;1;1;1;1;1;1;1;1;1;1;1;1;1;Pandemia, COVID-19;0; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;0;0; ;3;1;0;1;1;0; ;0;1;1;1;0;0;0;1;0;1;1;0;COVID-19, pandemia e relações humanas.;1;2403202;24;2;Doutor Severiano;6492;2783;3709;Pequeno I;113,737; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;3;1;1;1;1;1;1;1;1;1;1;0;0;2;1;0;1;1;1;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;0;0;1;0;1;1;0;0;1;1;1;0;0;0;1;0;1;1;0;2;1;12;1;1;5; ; ; ; ; ; ;1; ; ;5;6
240325;2403253401538;CENTRO DE CONVIVÊNCIA SCFV UNIDADE PIRANGI DO NORTE;27;PRAÇA SÃO SEBASTIÃO;S/N; ;PIRANGI DO NORTE;59161485;PARNAMIRIM;RN;scfvpirangi@bol.com.br;(84) 32381083; ; ;01/02/2002;-5.977.095.969.234.010;-3.512.526.171.392.510;2;1;5;8;2;0;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;1;0; ;0;1;1;1;1;1;0;1;1;1;0;0; ;1;2;1;1;1;0;1;1;1;1;1;1;0;0; ;2;1;0;0;0;0;0;0; ;0;1;0;0;0; ;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0; ;0;0;1;0;1;1;0;0;1;120;6;5;4;1;0;1;1;0;1;0;1;0;0;1;0; ;1;1;0;1;1;0;1;1;0;0;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;1;1;1;1;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;2403251;24;2;Parnamirim;202456;202456;0;Grande;123,471; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;0;1;1;1;0;0;2;1;1;1;0;1;1;1;1;1;1;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ;1;1;0;1;1;1;1;1;0;0; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;1;2;1;11;1;1;7; ; ; ; ; ; ;1; ;2;5;8
240325;2403253402342;CENTRO DE CONVIVÊNCIA SCFV UNIDADE ROSA DOS VENTOS;32;NAZARENO MATIAS;60; ;ROSA DOS VENTOS;59141550;PARNAMIRIM;RN;scfvrosadosventos@gmail.com;(84) 36455961; ; ;02/03/2010;-5.927.487.098.016.830;-3.527.657.389.640.800;2;1;5;8;2;0;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;0;1;1;1;1;1;1;1;1;0;0; ;1;2;1;1;0;0;1;1;1;1;1;0;0;0; ;2;1;0;0;0;0;0;0; ;0;1;0;0;0; ;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0; ;0;0;0;0;1;1;0;1;0;230;6;4;4;1;1;1;0;0;1;0;1;0;1;1;0; ;1;0;0;1;1;1;1;1;1;1;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;0;0;0;0;0;0; ;1;0;0;0;1;0; ;0;1;1;1;0;0;0;0;0;0;1;0;Como trabalhar atividades remotas na Pandemia;1;2403251;24;2;Parnamirim;202456;202456;0;Grande;123,471; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;2;1;1;0;0;1;1;1;1;1;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0; ; ; ; ; ; ; ; ; ; ;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;1;0;2;1;13;1;1;5;4;2;1; ; ; ;3; ;1;6;10
240325;2403253402352;CENTRO DE CONVIVÊNCIA SCFV UNIDADE SANTA TEREZA;32;RUA PRESIDENTE CASTELO BRANCO;245; ;SANTA TEREZA;59142420;PARNAMIRIM;RN;lucia.idosos2020@hotmail.com;(84) 36458720; ; ;10/09/2003;-5.933.577.807.691.880;-3.528.933.584.690.090;2;1;5;8;2;0;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;1;0;1;1;1;0;0; ;1;4;1;1;1;0;1;1;1;1;1;0;0;0; ;3;1;0;0;0;0;0;0; ;1;0;0;0;0; ;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0; ;0;0;0;0;1;1;0;0;1;150;6;5;3;0;0;1;0;0;1;0;1;0;0;1;0; ;1;1;1;1;0;1;0;1;0;0;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;0;1;0;0;0;0;0; ;1;0;0;0;1;0; ;0;1;1;1;0;0;0;0;0;0;0;0; ;1;2403251;24;2;Parnamirim;202456;202456;0;Grande;123,471; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;4;1;1;1;0;1;1;1;1;1;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;2;1;11;1;1;4; ; ; ; ; ; ;1; ;1;3;5
